Timestamp,Source IP,Message,Label
54:49.0,192.168.1.72,Failed login attempt,0
16:49.0,192.168.1.225,High CPU usage,0
46:49.0,192.168.1.15,Normal operation,0
23:49.0,192.168.1.44,Failed login attempt,0
24:49.0,192.168.1.104,DDoS detected,1
36:49.0,192.168.1.180,Normal operation,0
54:49.0,192.168.1.33,High CPU usage,0
53:49.0,192.168.1.72,Connection timeout,0
56:49.0,192.168.1.17,Normal operation,0
33:49.0,192.168.1.9,Connection timeout,0
38:49.0,192.168.1.124,Failed login attempt,0
47:49.0,192.168.1.35,DDoS detected,1
51:49.0,192.168.1.58,High CPU usage,0
41:49.0,192.168.1.121,Connection timeout,0
59:49.0,192.168.1.216,High CPU usage,0
53:49.0,192.168.1.131,DDoS detected,1
20:49.0,192.168.1.195,Failed login attempt,0
45:49.0,192.168.1.41,DDoS detected,1
06:49.0,192.168.1.51,Failed login attempt,0
42:49.0,192.168.1.128,Failed login attempt,0
16:49.0,192.168.1.253,DDoS detected,1
03:49.0,192.168.1.244,Connection timeout,0
52:49.0,192.168.1.57,Failed login attempt,0
56:49.0,192.168.1.87,Connection timeout,0
30:49.0,192.168.1.230,High CPU usage,0
24:49.0,192.168.1.248,Connection timeout,0
41:49.0,192.168.1.252,Normal operation,0
50:49.0,192.168.1.52,Normal operation,0
58:49.0,192.168.1.49,DDoS detected,1
22:49.0,192.168.1.45,Connection timeout,0
26:49.0,192.168.1.171,DDoS detected,1
47:49.0,192.168.1.235,Failed login attempt,0
07:49.0,192.168.1.87,High CPU usage,0
03:49.0,192.168.1.152,DDoS detected,1
27:49.0,192.168.1.227,DDoS detected,1
52:49.0,192.168.1.93,DDoS detected,1
47:49.0,192.168.1.8,Failed login attempt,0
08:49.0,192.168.1.100,Failed login attempt,0
13:49.0,192.168.1.62,High CPU usage,0
36:49.0,192.168.1.120,Normal operation,0
16:49.0,192.168.1.162,Failed login attempt,0
32:49.0,192.168.1.187,Failed login attempt,0
12:49.0,192.168.1.150,Normal operation,0
55:49.0,192.168.1.35,DDoS detected,1
36:49.0,192.168.1.139,Failed login attempt,0
16:49.0,192.168.1.169,DDoS detected,1
57:49.0,192.168.1.182,Failed login attempt,0
48:49.0,192.168.1.166,Connection timeout,0
22:49.0,192.168.1.33,DDoS detected,1
22:49.0,192.168.1.165,Failed login attempt,0
34:49.0,192.168.1.52,Normal operation,0
35:49.0,192.168.1.216,High CPU usage,0
54:49.0,192.168.1.43,High CPU usage,0
23:49.0,192.168.1.1,Failed login attempt,0
55:49.0,192.168.1.201,Connection timeout,0
34:49.0,192.168.1.106,Normal operation,0
34:49.0,192.168.1.37,Connection timeout,0
11:49.0,192.168.1.68,Failed login attempt,0
00:49.0,192.168.1.252,DDoS detected,1
13:49.0,192.168.1.24,Connection timeout,0
09:49.0,192.168.1.138,DDoS detected,1
49:49.0,192.168.1.184,Normal operation,0
53:49.0,192.168.1.168,DDoS detected,1
53:49.0,192.168.1.231,High CPU usage,0
25:49.0,192.168.1.79,Failed login attempt,0
18:49.0,192.168.1.111,Failed login attempt,0
44:49.0,192.168.1.77,Normal operation,0
48:49.0,192.168.1.187,Connection timeout,0
46:49.0,192.168.1.68,DDoS detected,1
10:49.0,192.168.1.19,Failed login attempt,0
06:49.0,192.168.1.134,Failed login attempt,0
50:49.0,192.168.1.192,Normal operation,0
21:49.0,192.168.1.89,Failed login attempt,0
40:49.0,192.168.1.96,Connection timeout,0
42:49.0,192.168.1.178,Failed login attempt,0
10:49.0,192.168.1.46,Connection timeout,0
24:49.0,192.168.1.207,DDoS detected,1
43:49.0,192.168.1.189,Connection timeout,0
11:49.0,192.168.1.199,Normal operation,0
00:49.0,192.168.1.230,Normal operation,0
17:49.0,192.168.1.154,Connection timeout,0
31:49.0,192.168.1.135,Normal operation,0
36:49.0,192.168.1.133,High CPU usage,0
04:49.0,192.168.1.226,Normal operation,0
06:49.0,192.168.1.133,Normal operation,0
55:49.0,192.168.1.66,DDoS detected,1
02:49.0,192.168.1.149,Normal operation,0
09:49.0,192.168.1.201,Failed login attempt,0
37:49.0,192.168.1.70,Connection timeout,0
15:49.0,192.168.1.122,High CPU usage,0
12:49.0,192.168.1.218,Failed login attempt,0
08:49.0,192.168.1.184,Normal operation,0
21:49.0,192.168.1.2,DDoS detected,1
47:49.0,192.168.1.151,High CPU usage,0
31:49.0,192.168.1.242,Failed login attempt,0
59:49.0,192.168.1.85,High CPU usage,0
35:49.0,192.168.1.254,Failed login attempt,0
15:49.0,192.168.1.157,Normal operation,0
27:49.0,192.168.1.68,Failed login attempt,0
58:49.0,192.168.1.175,Normal operation,0
33:49.0,192.168.1.12,DDoS detected,1
30:49.0,192.168.1.21,DDoS detected,1
03:49.0,192.168.1.130,Normal operation,0
25:49.0,192.168.1.107,Failed login attempt,0
02:49.0,192.168.1.121,High CPU usage,0
08:49.0,192.168.1.74,Failed login attempt,0
15:49.0,192.168.1.107,Normal operation,0
30:49.0,192.168.1.90,Normal operation,0
10:49.0,192.168.1.248,High CPU usage,0
43:49.0,192.168.1.101,DDoS detected,1
57:49.0,192.168.1.20,Failed login attempt,0
22:49.0,192.168.1.33,Connection timeout,0
01:49.0,192.168.1.37,High CPU usage,0
18:49.0,192.168.1.14,Failed login attempt,0
39:49.0,192.168.1.126,Connection timeout,0
58:49.0,192.168.1.224,Failed login attempt,0
00:49.0,192.168.1.166,DDoS detected,1
29:49.0,192.168.1.226,High CPU usage,0
59:49.0,192.168.1.148,Connection timeout,0
56:49.0,192.168.1.3,Normal operation,0
56:49.0,192.168.1.6,Connection timeout,0
14:49.0,192.168.1.76,DDoS detected,1
28:49.0,192.168.1.158,Normal operation,0
33:49.0,192.168.1.170,Normal operation,0
13:49.0,192.168.1.210,Failed login attempt,0
58:49.0,192.168.1.52,High CPU usage,0
31:49.0,192.168.1.162,DDoS detected,1
38:49.0,192.168.1.78,Connection timeout,0
53:49.0,192.168.1.148,Connection timeout,0
48:49.0,192.168.1.129,Normal operation,0
18:49.0,192.168.1.60,Failed login attempt,0
54:49.0,192.168.1.131,High CPU usage,0
37:49.0,192.168.1.125,Connection timeout,0
54:49.0,192.168.1.67,Connection timeout,0
08:49.0,192.168.1.36,DDoS detected,1
31:49.0,192.168.1.235,Connection timeout,0
48:49.0,192.168.1.205,Failed login attempt,0
33:49.0,192.168.1.173,Failed login attempt,0
13:49.0,192.168.1.115,High CPU usage,0
58:49.0,192.168.1.73,Connection timeout,0
08:49.0,192.168.1.26,Failed login attempt,0
05:49.0,192.168.1.182,Connection timeout,0
38:49.0,192.168.1.198,Failed login attempt,0
49:49.0,192.168.1.82,DDoS detected,1
48:49.0,192.168.1.20,Failed login attempt,0
59:49.0,192.168.1.233,DDoS detected,1
54:49.0,192.168.1.67,Normal operation,0
47:49.0,192.168.1.126,Failed login attempt,0
55:49.0,192.168.1.206,Normal operation,0
44:49.0,192.168.1.209,High CPU usage,0
05:49.0,192.168.1.170,Normal operation,0
34:49.0,192.168.1.113,Failed login attempt,0
45:49.0,192.168.1.205,DDoS detected,1
41:49.0,192.168.1.152,Failed login attempt,0
13:49.0,192.168.1.134,Failed login attempt,0
43:49.0,192.168.1.46,Failed login attempt,0
43:49.0,192.168.1.129,Failed login attempt,0
54:49.0,192.168.1.161,Failed login attempt,0
34:49.0,192.168.1.10,DDoS detected,1
08:49.0,192.168.1.232,Normal operation,0
04:49.0,192.168.1.231,Failed login attempt,0
10:49.0,192.168.1.118,Failed login attempt,0
21:49.0,192.168.1.26,DDoS detected,1
44:49.0,192.168.1.127,Failed login attempt,0
36:49.0,192.168.1.111,Failed login attempt,0
26:49.0,192.168.1.233,DDoS detected,1
22:49.0,192.168.1.108,High CPU usage,0
41:49.0,192.168.1.174,DDoS detected,1
57:49.0,192.168.1.171,DDoS detected,1
22:49.0,192.168.1.254,Connection timeout,0
45:49.0,192.168.1.254,Normal operation,0
32:49.0,192.168.1.150,Normal operation,0
45:49.0,192.168.1.86,DDoS detected,1
56:49.0,192.168.1.254,Normal operation,0
42:49.0,192.168.1.93,Connection timeout,0
03:49.0,192.168.1.61,DDoS detected,1
13:49.0,192.168.1.78,High CPU usage,0
27:49.0,192.168.1.36,Normal operation,0
13:49.0,192.168.1.204,Failed login attempt,0
40:49.0,192.168.1.1,Failed login attempt,0
30:49.0,192.168.1.186,Failed login attempt,0
47:49.0,192.168.1.214,Connection timeout,0
50:49.0,192.168.1.18,High CPU usage,0
18:49.0,192.168.1.84,High CPU usage,0
45:49.0,192.168.1.92,DDoS detected,1
18:49.0,192.168.1.39,High CPU usage,0
51:49.0,192.168.1.184,Failed login attempt,0
06:49.0,192.168.1.43,Connection timeout,0
00:49.0,192.168.1.31,DDoS detected,1
23:49.0,192.168.1.127,Connection timeout,0
36:49.0,192.168.1.50,High CPU usage,0
46:49.0,192.168.1.254,High CPU usage,0
11:49.0,192.168.1.123,Normal operation,0
22:49.0,192.168.1.133,Connection timeout,0
37:49.0,192.168.1.16,DDoS detected,1
57:49.0,192.168.1.129,Connection timeout,0
58:49.0,192.168.1.14,Normal operation,0
00:49.0,192.168.1.25,Failed login attempt,0
16:49.0,192.168.1.131,DDoS detected,1
38:49.0,192.168.1.255,Connection timeout,0
25:49.0,192.168.1.73,Normal operation,0
15:49.0,192.168.1.175,Normal operation,0
25:49.0,192.168.1.205,Connection timeout,0
34:49.0,192.168.1.79,DDoS detected,1
30:49.0,192.168.1.217,DDoS detected,1
23:49.0,192.168.1.229,Normal operation,0
25:49.0,192.168.1.24,Connection timeout,0
19:49.0,192.168.1.20,Normal operation,0
33:49.0,192.168.1.175,DDoS detected,1
10:49.0,192.168.1.65,High CPU usage,0
59:49.0,192.168.1.241,DDoS detected,1
55:49.0,192.168.1.77,High CPU usage,0
37:49.0,192.168.1.153,High CPU usage,0
53:49.0,192.168.1.92,High CPU usage,0
08:49.0,192.168.1.34,Connection timeout,0
31:49.0,192.168.1.203,High CPU usage,0
46:49.0,192.168.1.1,Connection timeout,0
15:49.0,192.168.1.38,Normal operation,0
35:49.0,192.168.1.65,Connection timeout,0
05:49.0,192.168.1.23,DDoS detected,1
10:49.0,192.168.1.118,DDoS detected,1
17:49.0,192.168.1.129,DDoS detected,1
39:49.0,192.168.1.157,Connection timeout,0
46:49.0,192.168.1.122,DDoS detected,1
02:49.0,192.168.1.23,DDoS detected,1
45:49.0,192.168.1.219,Failed login attempt,0
35:49.0,192.168.1.139,High CPU usage,0
30:49.0,192.168.1.16,Normal operation,0
14:49.0,192.168.1.241,DDoS detected,1
31:49.0,192.168.1.145,High CPU usage,0
46:49.0,192.168.1.215,DDoS detected,1
01:49.0,192.168.1.49,Failed login attempt,0
06:49.0,192.168.1.11,Failed login attempt,0
33:49.0,192.168.1.51,DDoS detected,1
31:49.0,192.168.1.120,High CPU usage,0
25:49.0,192.168.1.95,High CPU usage,0
48:49.0,192.168.1.214,Connection timeout,0
10:49.0,192.168.1.65,Connection timeout,0
46:49.0,192.168.1.42,Normal operation,0
09:49.0,192.168.1.57,DDoS detected,1
46:49.0,192.168.1.111,High CPU usage,0
43:49.0,192.168.1.162,Connection timeout,0
40:49.0,192.168.1.242,DDoS detected,1
58:49.0,192.168.1.74,High CPU usage,0
02:49.0,192.168.1.129,Failed login attempt,0
56:49.0,192.168.1.115,Failed login attempt,0
30:49.0,192.168.1.163,High CPU usage,0
03:49.0,192.168.1.168,Failed login attempt,0
01:49.0,192.168.1.38,Connection timeout,0
08:49.0,192.168.1.241,DDoS detected,1
53:49.0,192.168.1.199,High CPU usage,0
32:49.0,192.168.1.145,High CPU usage,0
45:49.0,192.168.1.62,Normal operation,0
39:49.0,192.168.1.6,Normal operation,0
48:49.0,192.168.1.189,Failed login attempt,0
54:49.0,192.168.1.199,Failed login attempt,0
59:49.0,192.168.1.219,Connection timeout,0
55:49.0,192.168.1.249,Failed login attempt,0
36:49.0,192.168.1.160,Connection timeout,0
25:49.0,192.168.1.145,Normal operation,0
45:49.0,192.168.1.222,Connection timeout,0
41:49.0,192.168.1.95,Normal operation,0
51:49.0,192.168.1.110,Failed login attempt,0
44:49.0,192.168.1.87,Connection timeout,0
11:49.0,192.168.1.135,Connection timeout,0
45:49.0,192.168.1.159,Normal operation,0
05:49.0,192.168.1.227,High CPU usage,0
22:49.0,192.168.1.39,Connection timeout,0
59:49.0,192.168.1.35,Connection timeout,0
42:49.0,192.168.1.237,Connection timeout,0
14:49.0,192.168.1.116,Failed login attempt,0
47:49.0,192.168.1.140,Failed login attempt,0
50:49.0,192.168.1.106,Failed login attempt,0
51:49.0,192.168.1.244,High CPU usage,0
15:49.0,192.168.1.1,Failed login attempt,0
55:49.0,192.168.1.43,Normal operation,0
06:49.0,192.168.1.74,Failed login attempt,0
55:49.0,192.168.1.181,Normal operation,0
49:49.0,192.168.1.236,High CPU usage,0
20:49.0,192.168.1.218,Normal operation,0
18:49.0,192.168.1.241,DDoS detected,1
12:49.0,192.168.1.113,Connection timeout,0
27:49.0,192.168.1.160,Failed login attempt,0
52:49.0,192.168.1.119,Failed login attempt,0
19:49.0,192.168.1.72,High CPU usage,0
01:49.0,192.168.1.149,High CPU usage,0
05:49.0,192.168.1.22,DDoS detected,1
31:49.0,192.168.1.78,Normal operation,0
40:49.0,192.168.1.158,Connection timeout,0
59:49.0,192.168.1.43,Failed login attempt,0
46:49.0,192.168.1.23,Connection timeout,0
13:49.0,192.168.1.142,DDoS detected,1
36:49.0,192.168.1.121,High CPU usage,0
03:49.0,192.168.1.208,DDoS detected,1
20:49.0,192.168.1.156,Connection timeout,0
19:49.0,192.168.1.247,Failed login attempt,0
45:49.0,192.168.1.237,High CPU usage,0
34:49.0,192.168.1.235,Normal operation,0
02:49.0,192.168.1.111,Connection timeout,0
45:49.0,192.168.1.222,Connection timeout,0
29:49.0,192.168.1.50,Normal operation,0
51:49.0,192.168.1.103,DDoS detected,1
14:49.0,192.168.1.185,Failed login attempt,0
30:49.0,192.168.1.29,DDoS detected,1
12:49.0,192.168.1.9,Connection timeout,0
16:49.0,192.168.1.145,Connection timeout,0
25:49.0,192.168.1.232,High CPU usage,0
41:49.0,192.168.1.171,Failed login attempt,0
15:49.0,192.168.1.36,Normal operation,0
16:49.0,192.168.1.251,DDoS detected,1
15:49.0,192.168.1.3,High CPU usage,0
21:49.0,192.168.1.19,Failed login attempt,0
07:49.0,192.168.1.178,Failed login attempt,0
33:49.0,192.168.1.169,High CPU usage,0
49:49.0,192.168.1.214,Normal operation,0
51:49.0,192.168.1.34,Failed login attempt,0
30:49.0,192.168.1.180,High CPU usage,0
38:49.0,192.168.1.239,High CPU usage,0
29:49.0,192.168.1.91,Normal operation,0
07:49.0,192.168.1.252,DDoS detected,1
13:49.0,192.168.1.140,DDoS detected,1
46:49.0,192.168.1.23,Normal operation,0
57:49.0,192.168.1.141,DDoS detected,1
14:49.0,192.168.1.30,DDoS detected,1
41:49.0,192.168.1.215,Failed login attempt,0
20:49.0,192.168.1.137,Failed login attempt,0
56:49.0,192.168.1.51,Normal operation,0
14:49.0,192.168.1.251,Connection timeout,0
40:49.0,192.168.1.253,Failed login attempt,0
33:49.0,192.168.1.130,DDoS detected,1
26:49.0,192.168.1.36,Connection timeout,0
05:49.0,192.168.1.179,High CPU usage,0
26:49.0,192.168.1.59,High CPU usage,0
38:49.0,192.168.1.212,High CPU usage,0
05:49.0,192.168.1.223,High CPU usage,0
00:49.0,192.168.1.215,Connection timeout,0
32:49.0,192.168.1.113,Connection timeout,0
48:49.0,192.168.1.236,DDoS detected,1
51:49.0,192.168.1.188,High CPU usage,0
37:49.0,192.168.1.202,DDoS detected,1
57:49.0,192.168.1.160,DDoS detected,1
40:49.0,192.168.1.4,DDoS detected,1
22:49.0,192.168.1.206,Failed login attempt,0
08:49.0,192.168.1.200,Failed login attempt,0
28:49.0,192.168.1.192,Connection timeout,0
38:49.0,192.168.1.175,Connection timeout,0
54:49.0,192.168.1.75,DDoS detected,1
14:49.0,192.168.1.122,High CPU usage,0
35:49.0,192.168.1.130,Normal operation,0
51:49.0,192.168.1.236,High CPU usage,0
31:49.0,192.168.1.238,DDoS detected,1
24:49.0,192.168.1.211,DDoS detected,1
22:49.0,192.168.1.106,Connection timeout,0
58:49.0,192.168.1.231,Normal operation,0
32:49.0,192.168.1.133,High CPU usage,0
26:49.0,192.168.1.233,Failed login attempt,0
55:49.0,192.168.1.57,DDoS detected,1
07:49.0,192.168.1.136,Normal operation,0
23:49.0,192.168.1.73,Normal operation,0
08:49.0,192.168.1.42,Failed login attempt,0
57:49.0,192.168.1.8,Connection timeout,0
17:49.0,192.168.1.188,Normal operation,0
19:49.0,192.168.1.128,Normal operation,0
50:49.0,192.168.1.249,Normal operation,0
53:49.0,192.168.1.11,Normal operation,0
35:49.0,192.168.1.237,DDoS detected,1
08:49.0,192.168.1.195,Connection timeout,0
24:49.0,192.168.1.128,Normal operation,0
21:49.0,192.168.1.247,Normal operation,0
55:49.0,192.168.1.179,Normal operation,0
11:49.0,192.168.1.250,Connection timeout,0
49:49.0,192.168.1.42,Failed login attempt,0
44:49.0,192.168.1.58,DDoS detected,1
19:49.0,192.168.1.163,DDoS detected,1
00:49.0,192.168.1.132,High CPU usage,0
15:49.0,192.168.1.44,Failed login attempt,0
41:49.0,192.168.1.225,Normal operation,0
31:49.0,192.168.1.115,DDoS detected,1
05:49.0,192.168.1.226,Connection timeout,0
45:49.0,192.168.1.188,Normal operation,0
45:49.0,192.168.1.118,Normal operation,0
51:49.0,192.168.1.102,High CPU usage,0
21:49.0,192.168.1.170,Connection timeout,0
29:49.0,192.168.1.78,Normal operation,0
03:49.0,192.168.1.166,Normal operation,0
14:49.0,192.168.1.194,DDoS detected,1
57:49.0,192.168.1.152,DDoS detected,1
28:49.0,192.168.1.118,Failed login attempt,0
37:49.0,192.168.1.151,Connection timeout,0
50:49.0,192.168.1.38,Failed login attempt,0
25:49.0,192.168.1.193,Normal operation,0
55:49.0,192.168.1.184,High CPU usage,0
33:49.0,192.168.1.78,DDoS detected,1
56:49.0,192.168.1.108,Normal operation,0
37:49.0,192.168.1.6,Connection timeout,0
55:49.0,192.168.1.213,Normal operation,0
05:49.0,192.168.1.92,DDoS detected,1
14:49.0,192.168.1.180,High CPU usage,0
45:49.0,192.168.1.218,High CPU usage,0
21:49.0,192.168.1.59,Failed login attempt,0
08:49.0,192.168.1.128,Normal operation,0
33:49.0,192.168.1.167,High CPU usage,0
51:49.0,192.168.1.123,High CPU usage,0
16:49.0,192.168.1.131,Normal operation,0
17:49.0,192.168.1.174,Normal operation,0
00:49.0,192.168.1.10,Failed login attempt,0
07:49.0,192.168.1.245,Connection timeout,0
51:49.0,192.168.1.44,Failed login attempt,0
10:49.0,192.168.1.158,High CPU usage,0
56:49.0,192.168.1.247,DDoS detected,1
46:49.0,192.168.1.139,Failed login attempt,0
32:49.0,192.168.1.146,Normal operation,0
13:49.0,192.168.1.69,Normal operation,0
21:49.0,192.168.1.193,DDoS detected,1
36:49.0,192.168.1.108,Connection timeout,0
03:49.0,192.168.1.200,Normal operation,0
20:49.0,192.168.1.244,High CPU usage,0
05:49.0,192.168.1.6,High CPU usage,0
15:49.0,192.168.1.236,Connection timeout,0
08:49.0,192.168.1.186,Normal operation,0
31:49.0,192.168.1.97,High CPU usage,0
17:49.0,192.168.1.85,Failed login attempt,0
08:49.0,192.168.1.203,High CPU usage,0
30:49.0,192.168.1.17,Failed login attempt,0
06:49.0,192.168.1.191,Failed login attempt,0
18:49.0,192.168.1.154,DDoS detected,1
11:49.0,192.168.1.22,DDoS detected,1
50:49.0,192.168.1.203,Failed login attempt,0
42:49.0,192.168.1.155,Connection timeout,0
49:49.0,192.168.1.121,High CPU usage,0
36:49.0,192.168.1.32,DDoS detected,1
40:49.0,192.168.1.105,High CPU usage,0
05:49.0,192.168.1.87,Failed login attempt,0
45:49.0,192.168.1.63,Connection timeout,0
01:49.0,192.168.1.196,Failed login attempt,0
19:49.0,192.168.1.11,Connection timeout,0
34:49.0,192.168.1.75,Connection timeout,0
37:49.0,192.168.1.13,Connection timeout,0
59:49.0,192.168.1.73,High CPU usage,0
04:49.0,192.168.1.231,Failed login attempt,0
43:49.0,192.168.1.134,High CPU usage,0
03:49.0,192.168.1.212,Normal operation,0
38:49.0,192.168.1.237,Connection timeout,0
48:49.0,192.168.1.188,Normal operation,0
50:49.0,192.168.1.161,DDoS detected,1
00:49.0,192.168.1.104,Connection timeout,0
16:49.0,192.168.1.157,High CPU usage,0
10:49.0,192.168.1.20,Normal operation,0
56:49.0,192.168.1.62,Connection timeout,0
39:49.0,192.168.1.81,DDoS detected,1
03:49.0,192.168.1.54,Normal operation,0
01:49.0,192.168.1.65,High CPU usage,0
00:49.0,192.168.1.93,Normal operation,0
16:49.0,192.168.1.1,Normal operation,0
42:49.0,192.168.1.219,High CPU usage,0
56:49.0,192.168.1.200,Failed login attempt,0
07:49.0,192.168.1.91,High CPU usage,0
04:49.0,192.168.1.65,Normal operation,0
07:49.0,192.168.1.170,Connection timeout,0
21:49.0,192.168.1.163,Failed login attempt,0
36:49.0,192.168.1.202,Connection timeout,0
02:49.0,192.168.1.229,Failed login attempt,0
59:49.0,192.168.1.111,Failed login attempt,0
24:49.0,192.168.1.21,Failed login attempt,0
17:49.0,192.168.1.39,DDoS detected,1
50:49.0,192.168.1.144,Normal operation,0
22:49.0,192.168.1.4,Failed login attempt,0
46:49.0,192.168.1.203,DDoS detected,1
34:49.0,192.168.1.107,Failed login attempt,0
21:49.0,192.168.1.27,DDoS detected,1
20:49.0,192.168.1.205,Normal operation,0
13:49.0,192.168.1.117,High CPU usage,0
20:49.0,192.168.1.252,High CPU usage,0
04:49.0,192.168.1.194,DDoS detected,1
17:49.0,192.168.1.136,Failed login attempt,0
15:49.0,192.168.1.114,Connection timeout,0
45:49.0,192.168.1.66,Normal operation,0
02:49.0,192.168.1.217,Normal operation,0
51:49.0,192.168.1.192,High CPU usage,0
22:49.0,192.168.1.100,DDoS detected,1
15:49.0,192.168.1.81,Failed login attempt,0
30:49.0,192.168.1.7,Normal operation,0
02:49.0,192.168.1.29,Connection timeout,0
26:49.0,192.168.1.17,DDoS detected,1
21:49.0,192.168.1.235,Failed login attempt,0
53:49.0,192.168.1.206,Failed login attempt,0
23:49.0,192.168.1.171,Normal operation,0
53:49.0,192.168.1.190,High CPU usage,0
57:49.0,192.168.1.5,High CPU usage,0
44:49.0,192.168.1.24,DDoS detected,1
05:49.0,192.168.1.6,DDoS detected,1
40:49.0,192.168.1.92,Connection timeout,0
30:49.0,192.168.1.43,Failed login attempt,0
37:49.0,192.168.1.199,Normal operation,0
11:49.0,192.168.1.103,Connection timeout,0
29:49.0,192.168.1.36,Normal operation,0
52:49.0,192.168.1.165,High CPU usage,0
00:49.0,192.168.1.186,Connection timeout,0
36:49.0,192.168.1.139,DDoS detected,1
35:49.0,192.168.1.86,Normal operation,0
42:49.0,192.168.1.40,Connection timeout,0
30:49.0,192.168.1.119,Failed login attempt,0
44:49.0,192.168.1.60,Normal operation,0
11:49.0,192.168.1.137,Normal operation,0
10:49.0,192.168.1.17,Normal operation,0
06:49.0,192.168.1.118,Normal operation,0
52:49.0,192.168.1.100,DDoS detected,1
12:49.0,192.168.1.175,Failed login attempt,0
37:49.0,192.168.1.121,Connection timeout,0
16:49.0,192.168.1.53,Connection timeout,0
21:49.0,192.168.1.241,Normal operation,0
05:49.0,192.168.1.210,DDoS detected,1
15:49.0,192.168.1.33,DDoS detected,1
27:49.0,192.168.1.136,Normal operation,0
33:49.0,192.168.1.42,DDoS detected,1
11:49.0,192.168.1.126,Normal operation,0
40:49.0,192.168.1.164,Normal operation,0
45:49.0,192.168.1.86,High CPU usage,0
14:49.0,192.168.1.175,Failed login attempt,0
19:49.0,192.168.1.124,Connection timeout,0
36:49.0,192.168.1.21,High CPU usage,0
03:49.0,192.168.1.139,High CPU usage,0
23:49.0,192.168.1.76,Normal operation,0
